snapshot_date,voice_id,public_owner_id,name,language,locale,accent,gender,age,descriptive,use_case,category,usage_character_count_1y,usage_character_count_7d,cloned_by_count,featured,rate,preview_url,description
2026-08-15,6OzrBCQf8cjERkYgzSg8,0a9042686a978259e40dcbdcfb3993bf397bf8fb64e3e343984cdf7ceabb044e,Young Jamal,en,en-US,american,male,young,chill,social_media,high_quality,20732838223,12479050,232582,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/6OzrBCQf8cjERkYgzSg8/YmWdAA5ju6tNyK5Zl104.mp3,Young Black African American voice. Perfect for casual conversation and social media voice overs to add spice into your creations.
2026-08-15,kPzsL2i3teMYv0FxEYQ6,e70117aeedd1f2d59cffcc96e42961819238d6ce7ec83e34fad935c7db9e95ec,"Brittney - Social Media Voice - Fun, Youthful & Informative",en,en-US,american,female,young,upbeat,social_media,high_quality,14928898135,241239643,986164,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/kPzsL2i3teMYv0FxEYQ6/4sLh92VdgT3Hppimhb4W.mp3,"A young, vibrant female voice that is perfect for celebrity news, hot topics, and fun conversation. Great for YouTube channels, informative videos, how-to's, and more!"
2026-08-15,UgBBYS2sOqTuMpoF3BR0,024c9393c6380665357f60b1062c863cd635d79791f13d6f0a834a319d5ff56c,Mark - Natural Conversations,en,en-US,american,male,young,casual,conversational,high_quality,13756680818,364927672,3778240,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/f94e260200764678babc807b935bfb0b/voices/UgBBYS2sOqTuMpoF3BR0/0Oc7jiXwWN9kRTXfQsmw.mp3,"A casual, young-adult speaking in a natural manner. Perfect for Conversational AI."
2026-08-15,CaJslL1xziwefCeTNzHv,5d0a801649832bdc90fc6b58ac890a1e97cce61eba920e8a5313f08f4dcdfde2,Cristina Campos - Friendly and Soft,es,es-AR,latin american,female,young,casual,conversational,professional,13041516534,53016094,35439,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/c093a158b7da4dadb8f9a5fae10b7211/voices/CaJslL1xziwefCeTNzHv/piQKkajjFXnelvIxcX33.mp3,Middle aged mexican female with a friendly conversational tone. Great for live conversations.
2026-08-15,kcQkGnn0HAT2JRDQ4Ljp,b8cf26021a2ac6dc9844a696dd285d45cf08a600b354a29300f25de0ee898f4d,"Norah - Warm, Friendly and Clear",es,es-AR,latin american,female,young,professional,conversational,high_quality,11429123593,29431748,79586,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/MwAclikwqMOxiQmgjqQl9NjIjLx2/voices/kcQkGnn0HAT2JRDQ4Ljp/orjDdvv8Gd5hsrqKoNSi.mp3,"Excels at delivering warm, professional, and natural-sounding interactions. Norah is a young Latin American voice tailored for customer service and conversational AI. Her clear tone, friendly cadence, and neutral accent make her ideal for virtual assistants, help desks, and automated support systems. Whether guiding users or handling client inquiries, Norah adds a human touch to every interaction."
2026-08-15,dlGxemPxFMTY7iXagmOj,615d2b8bda021af8e423fe2ac2467be802ba8efda45b0afe6d49c32e299ee9c3,"Fernando Martínez - Rapid, Persuasive",es,es-AR,latin american,male,middle_aged,casual,narrative_story,high_quality,11136793360,88043576,507969,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/dlGxemPxFMTY7iXagmOj/lQty6bCYbkLtTgnwqvDs.mp3,Middle aged casual male voice. Ideal for narrations.
2026-08-15,OtEfb2LVzIE45wdYe54M,7398804d9eaf2f463899a907587c33a390591775784f87857b6d0e1e4e3e66f6,"Zara - Soft, Professional and Gentle",hi,hi-IN,standard,female,young,classy,conversational,high_quality,7996418395,125793328,45976,false,1,https://api.us.elevenlabs.io/v1/voices/OtEfb2LVzIE45wdYe54M/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiJlZDliMDVlNjMyNGM0NTc2ODU0OTAzNTJlOWExZWM5MCIsImZpbGVuYW1lIjoiNXlTUXNCQ1BCcTFLa0dCdm1HTGgubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,"Zara’s voice blends husky softness with gentle politeness, making her an ideal choice for customer service in banking, insurance, and NBFC sectors. Her naturally calm tone instills trust and ensures a smooth, non-intimidating experience—perfect for inbound queries, verification calls, and sensitive customer interactions. She has been fine-tuned for BFSI use cases and can be seamlessly integrated into platforms like IVR systems, WhatsApp bots, and voice-enabled mobile apps."
2026-08-15,v3V1d2rk6528UrLKRuy8,e7fea8016e07cbf918ca753255d7085b26536539ab23d1c18100164e2a920dfc,Susi - Effortless and Confident,de,de-DE,standard,female,middle_aged,calm,conversational,high_quality,6716888536,69421043,69548,false,1,https://storage.googleapis.com/eleven-public-prod/1KI0h0RJuscE0Ta9tVvydENJ9JF3/voices/v3V1d2rk6528UrLKRuy8/8aab3a1d-2faf-4de4-b229-f3a2ebb21c43.mp3,"Imagine the voice of the telemarketing assistant as soothing and melodic, with a clear, crisp tone that conveys both warmth and professionalism. Her speech is rhythmic and confident, effortlessly modulating to match the mood of the conversation. She possesses a subtle accent that adds a unique charm to her interactions, making her sound approachable and friendly. Her laughter is light and genuine, breaking into her speech naturally when the conversation allows."
2026-08-15,KYiVPerWcenyBTIvWbfY,7398804d9eaf2f463899a907587c33a390591775784f87857b6d0e1e4e3e66f6,"Sia - Friendly, Helpful and Reassuring",hi,hi-IN,standard,female,young,pleasant,conversational,professional,6561408020,12301514,20054,false,1,https://api.us.elevenlabs.io/v1/voices/KYiVPerWcenyBTIvWbfY/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiJlZDliMDVlNjMyNGM0NTc2ODU0OTAzNTJlOWExZWM5MCIsImZpbGVuYW1lIjoiQlJXeGFrM1JPWFNXclBtRVpMNHMubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,"A warm, approachable voice built for easy, human-like customer interactions.

Sia’s cheerful and supportive tone makes users feel heard and understood. Whether assisting on mobile apps, IVR systems, chatbots, or web platforms, her voice brings calm, clarity, and comfort to every conversation. Ideal for ecommerce, fintech, healthcare, and consumer tech support, Sia ensures every query feels like it’s handled by a helpful human."
2026-08-15,oPC5I9GKjMReiaM29gjY,991994d44c6bfe4b3978666d09e5539d22ad7a82e1ffc137334d524a61057e0f,"Gökçe Deniz - Joyful, Friendly and Warm",tr,tr-TR,istanbul,female,young,cute,conversational,professional,5707195164,1352149,11906,false,1,https://api.us.elevenlabs.io/v1/voices/oPC5I9GKjMReiaM29gjY/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiJiMzI5NWZkNzdhMDM0Y2I2YTAzYmQ5YjRlNmM5ZjcwMyIsImZpbGVuYW1lIjoiVENIcHZocG9TMm5aN3djdVQ2UHkubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,"The voice of a young Turkish woman. A fun, energetic, and emotional woman. An exciting, dynamic, clear tone suitable for storytelling. perfect for tutorials, tech reviews, and engaging content. Slight warmth and confidence ideal for connecting with a broad audience"
